3587 - 01,02,04,08,09,10,11,12,13,16,17,18,19,20,22
3586 - 01,02,06,10,11,12,13,14,15,17,18,21,22,24,25
3585 - 01,02,04,08,09,10,13,16,17,19,20,21,22,23,25
3584 - 01,02,04,07,08,09,13,15,16,17,18,20,21,23,25
3583 - 02,03,04,06,09,10,12,13,14,15,21,22,23,24,25
3582 - 02,05,06,07,08,09,10,11,12,13,16,18,23,24,25
3581 - 02,03,04,05,06,07,08,10,12,15,16,17,20,22,24
3580 - 01,04,05,06,08,09,12,13,15,16,19,20,21,23,25
3579 - 01,02,03,04,08,10,11,13,15,17,19,20,21,23,25
3578 - 02,03,04,05,06,07,09,10,14,17,19,20,22,23,24
3577 - 01,02,04,05,06,08,09,10,12,16,18,20,23,24,25
3576 - 01,02,03,05,07,08,10,13,16,18,19,21,22,23,25
3575 - 02,04,05,07,08,09,10,12,13,14,15,17,21,22,25
3574 - 01,03,04,05,06,08,12,13,15,16,17,18,20,21,25
3573 - 01,02,07,08,10,11,12,14,15,16,17,20,22,23,25
3572 - 01,02,04,05,07,10,12,14,15,16,17,18,19,22,24
3571 - 02,03,04,05,06,08,11,12,13,14,17,20,22,24,25
3570 - 01,02,03,05,06,10,11,13,15,18,19,20,21,22,24
3569 - 01,02,03,04,05,06,08,10,14,15,17,18,19,20,24
3568 - 01,02,04,05,06,07,08,10,11,13,18,19,20,22,24
3567 - 01,02,04,08,09,10,11,12,14,15,18,19,20,24,25
3566 - 01,02,04,07,08,12,13,14,15,17,20,21,22,23,24
3565 - 01,04,10,11,13,16,17,18,19,20,21,22,23,24,25
3564 - 05,06,07,08,09,11,12,13,14,19,20,21,23,24,25
3563 - 01,03,04,09,10,11,12,13,15,17,19,20,21,23,25
3562 - 03,05,06,07,09,10,11,12,13,14,15,19,22,23,25
3561 - 01,02,04,05,06,07,08,10,15,16,17,18,20,21,25
3560 - 01,03,04,06,07,08,10,11,12,13,17,18,19,23,24
3559 - 01,02,06,08,09,10,11,13,14,15,16,19,20,24,25
3558 - 02,03,04,07,09,12,13,14,15,18,20,22,23,24,25
